season,lg,abbrev
1947,BAA,PHW
1948,BAA,BLB
1949,BAA,MNL
1950,NBA,MNL
1951,NBA,ROC
1952,NBA,MNL
1953,NBA,MNL
1954,NBA,MNL
1955,NBA,SYR
1956,NBA,PHW
1957,NBA,BOS
1958,NBA,STL
1959,NBA,BOS
1960,NBA,BOS
1961,NBA,BOS
1962,NBA,BOS
1963,NBA,BOS
1964,NBA,BOS
1965,NBA,BOS
1966,NBA,BOS
1967,NBA,PHI
1968,NBA,BOS
1969,NBA,BOS
1970,NBA,NYK
1971,NBA,MIL
1972,NBA,LAL
1973,NBA,NYK
1974,NBA,BOS
1975,NBA,GSW
1976,NBA,BOS
1977,NBA,POR
1978,NBA,WSB
1979,NBA,SEA
1980,NBA,LAL
1981,NBA,BOS
1982,NBA,LAL
1983,NBA,PHI
1984,NBA,BOS
1985,NBA,LAL
1986,NBA,BOS
1987,NBA,LAL
1988,NBA,LAL
1989,NBA,DET
1990,NBA,DET
1991,NBA,CHI
1992,NBA,CHI
1993,NBA,CHI
1994,NBA,HOU
1995,NBA,HOU
1996,NBA,CHI
1997,NBA,CHI
1998,NBA,CHI
1999,NBA,SAS
2000,NBA,LAL
2001,NBA,LAL
2002,NBA,LAL
2003,NBA,SAS
2004,NBA,DET
2005,NBA,SAS
2006,NBA,MIA
2007,NBA,SAS
2008,NBA,BOS
2009,NBA,LAL
2010,NBA,LAL
2011,NBA,DAL
2012,NBA,MIA
2013,NBA,MIA
2014,NBA,SAS
2015,NBA,GSW
2016,NBA,CLE
2017,NBA,GSW
2018,NBA,GSW
2019,NBA,TOR
2020,NBA,LAL
2021,NBA,MIL
2022,NBA,GSW
2023,NBA,DEN
2024,NBA,BOS
2025,NBA,OKC
2026,NBA,NYK
1968,ABA,PTP
1969,ABA,OAK
1970,ABA,INA
1971,ABA,UTS
1972,ABA,INA
1973,ABA,INA
1974,ABA,NYA
1975,ABA,KEN
1976,ABA,NYA
