player_id,po_ppg
jordami01,33.45
doncilu01,30.85
iversal01,29.73
duranke01,29.29
westje01,29.13
jamesle01,28.22
mitchdo01,27.79
bookede01,27.45
jokicni01,27.35
barryri01,27.33
bayloel01,27.04
antetgi01,27.02
curryst01,26.75
gervige01,26.46
youngtr01,26.41
gilgesh01,26.23
davisan02,26.10
brunsja01,26.05
olajuha01,25.90
edwaran01,25.88
bryanko01,25.64
pettibo01,25.45
wilkido01,25.41
nowitdi01,25.26
lillada01,25.22
hawkico01,25.00
embiijo01,24.80
malonka01,24.67
kingbe01,24.54
englial01,24.43
abdulka01,24.31
onealsh01,24.31
ervinju01,24.23
tatumja01,24.22
arizipa01,24.20
thompda01,24.05
mikange01,24.00
birdla01,23.76
murraja01,23.74
anthoca01,23.06
barklch01,23.03
irvinky01,23.03
bealbr01,22.92
lovebo01,22.89
hayesel01,22.85
chambwi01,22.54
westbru01,22.48
wadedw01,22.34
roberos01,22.21
hardeja01,22.20
mcgratr01,22.18
malonmo01,22.13
isselda01,22.06
havlijo01,21.95
rosede01,21.94
walljo01,21.89
derozde01,21.83
thomais02,21.69
johnsma01,21.54
whitejo01,21.50
collido01,21.47
leonaka01,21.46
dantlad01,21.34
hudsolo01,21.31
worthja01,21.13
butleji01,21.12
georgpa01,20.77
aldrila01,20.75
fraziwa01,20.72
mcginge01,20.70
millere01,20.64
middlkh01,20.62
duncati01,20.61
drexlcl01,20.43
greerha01,20.39
hardaan01,20.38
thomais01,20.37
carrida01,20.36
yardlge01,20.28
gordobe01,20.24
ewingpa01,20.24
dandrbo01,20.07
paulch01,20.01
mccolcj01,19.99
hagancl01,19.88
wisewi01,19.82
mingya01,19.82
heinsto01,19.79
hamilri01,19.78
willija06,19.76
sprewla01,19.73
cunnibi01,19.65
walkeke02,19.65
brownja02,19.63
haywosp01,19.58
knighbi01,19.55
willigu01,19.48
johnsma02,19.48
schaydo01,19.45
johnske02,19.30
houstal01,19.27
thompkl01,19.19
daughbr01,19.07
maxeyty01,19.06
cartege01,19.00
fulksjo01,18.97
cowenda01,18.92
jonesla01,18.91
jonessa01,18.89
davisba01,18.84
mchalke01,18.83
jonesji01,18.76
malonje01,18.75
maravpe01,18.73
stoudam01,18.73
brownro01,18.73
sampsra01,18.71
townska01,18.71
piercpa01,18.71
webbech01,18.69
daviswa03,18.59
laniebo01,18.57
lewisfr02,18.56
sharmbi01,18.54
foxde01,18.54
murphca01,18.53
cousybo01,18.51
willich01,18.50
bellawa01,18.48
mitchmi01,18.46
randlju01,18.43
nattca01,18.36
rochejo01,18.33
scottch01,18.31
mcadobo01,18.28
twymaja01,18.26
walkech01,18.25
griffbl01,18.21
garneke01,18.19
cheniph01,18.13
goodrga01,18.12
siakapa01,18.11
cartevi01,18.10
moedo01,18.10
jabalwa01,18.08
robinda01,18.06
monroea01,17.94
beatyze01,17.93
parketo01,17.90
halibty01,17.87
calvima01,17.78
shuege01,17.78
nixonno01,17.71
gilmoar01,17.68
powelci01,17.56
pippesc01,17.51
lewisre01,17.48
danieme01,17.44
toneyan01,17.42
reedwi01,17.41
pricema01,17.40
stonege01,17.40
reaveau01,17.34
freemdo01,17.33
johnsde01,17.31
billuch01,17.30
kempsh01,17.30
nashst01,17.27
jamisan01,17.20
kenonla01,17.18
aguirma01,17.13
banede01,17.12
boozeca01,17.11
richaja01,17.11
arenagi01,17.10
simpsra01,17.09
mcdanxa01,17.00
ohldo01,16.91
hardati01,16.84
colemde01,16.82
mcmilji01,16.58
harrito02,16.54
randoza01,16.50
brookdi01,16.45
adebaba01,16.38
meschto01,16.31
howelba01,16.29
russebi01,16.20
willijo01,16.18
boonero01,16.13
wilkele01,16.11
wilkeja01,16.11
walkean02,16.09
blackro01,16.09
allenra02,16.08
vandeki01,16.07
ricegl01,16.07
wiggian01,16.02
holidjr01,16.02
debusda01,16.00
moncrsi01,15.99
cartefr01,15.93
mobleev01,15.91
denglu01,15.90
clarkar01,15.85
jacksja02,15.74
nancela01,15.74
silasja01,15.71
willide01,15.69
netolbo01,15.66
dumarjo01,15.64
tripuke01,15.64
birdsot01,15.60
boshch01,15.60
gueriri01,15.57
wintebr01,15.54
gasolpa01,15.43
caldwjo01,15.43
chambto01,15.39
bingda01,15.39
parisro01,15.33
jonesst01,15.32
howardw01,15.27
johnsjo02,15.23
holmgch01,15.19
dampilo01,15.15
cummite01,15.13
barnedi01,15.09
combsgl01,15.08
gordoer01,15.08
anunoog01,15.07
griffda01,15.05
mashbja01,15.04
nelsoja01,15.02
roundda01,14.97
hornaje01,14.94
piercri01,14.92
smithst01,14.87
marinja01,14.84
aytonde01,14.80
howarjo01,14.79
smitsri01,14.78
portete01,14.74
lloydle01,14.68
roseja01,14.63
mannida01,14.60
smithjo03,14.59
wanzebo01,14.58
lucasma01,14.58
herroty01,14.56
poolejo01,14.49
larusru01,14.45
brownfr01,14.42
stojape01,14.39
cheekma01,14.36
crawfja01,14.32
sikmaja01,14.32
zasloma01,14.27
blaylmo01,14.24
starkjo01,14.20
johnsla02,14.20
dragigo01,14.19
architi01,14.19
russeda01,14.16
oladivi01,14.12
terryja01,14.11
hawkihe01,14.09
lopezbr01,14.07
freewo01,14.03
braunca01,14.03
ginobma01,14.01
paytoga01,13.99
drewjo01,13.97
lovelcl01,13.96
vanlino01,13.95
mariosh01,13.94
jacksst02,13.93
